GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,FG_DAY_RANK
11/19/2018,MEM,Memphis Grizzlies,MEM vs. DAL,Mike Conley,G,47.5,1301,7,46,7,1184,0,7843,10,888,1,10110,5,7038,2,1393,3,1827,10
11/18/2018,LAL,Los Angeles Lakers,LAL @ MIA,LeBron James,F,72.1,69,6,113,3,5849,1,2443,19,7,7,723,8,2894,2,1393,2,4097,1
11/18/2018,ORL,Orlando Magic,ORL vs. NYK,Aaron Gordon,F,34.2,4437,4,662,2,8551,0,7843,13,186,1,10110,1,18809,1,4317,4,786,2
11/18/2018,POR,Portland Trail Blazers,POR @ WAS,Damian Lillard,G,56.7,467,3,1597,5,2659,0,7843,12,318,13,62,6,5192,1,4317,1,8514,3
11/18/2018,NYK,New York Knicks,NYK @ ORL,Trey Burke,G,40.6,2511,1,7056,2,8551,0,7843,11,549,8,447,3,12137,2,1393,3,1827,4
11/18/2018,GSW,Golden State Warriors,GSW @ SAS,Klay Thompson,G,26.4,8002,3,1597,2,8551,0,7843,11,549,0,13385,2,15352,0,11467,4,786,5
11/18/2018,WAS,Washington Wizards,WAS vs. POR,John Wall,G,40.1,2630,3,1597,3,5849,3,272,10,888,1,10110,3,12137,0,11467,1,8514,6
11/18/2018,SAS,San Antonio Spurs,SAS vs. GSW,LaMarcus Aldridge,C-F,54.1,639,0,12874,3,5849,2,812,10,888,4,2601,18,108,0,11467,2,4097,7
11/18/2018,ORL,Orlando Magic,ORL vs. NYK,Nikola Vucevic,C,56.5,478,2,3543,9,525,2,812,10,888,6,1093,10,1582,0,11467,3,1827,8
11/18/2018,POR,Portland Trail Blazers,POR @ WAS,CJ McCollum,G,33.4,4730,3,1597,0,18130,0,7843,9,1419,4,2601,7,3913,0,11467,0,15731,9
11/18/2018,NYK,New York Knicks,NYK @ ORL,Tim Hardaway Jr.,G,45.4,1629,5,280,2,8551,0,7843,9,1419,9,316,2,15352,3,415,1,8514,10
11/17/2018,CHA,Charlotte Hornets,CHA vs. PHI,Kemba Walker,G,77.4,39,6,113,4,3929,0,7843,21,1,12,89,7,3913,4,121,9,7,1
11/17/2018,ORL,Orlando Magic,ORL vs. LAL,Nikola Vucevic,C,54.6,598,2,3543,0,18130,0,7843,15,65,4,2601,13,591,2,1393,3,1827,2
11/17/2018,LAC,LA Clippers,LAC @ BKN,Tobias Harris,F,38.1,3148,2,3543,3,5849,0,7843,11,549,3,4174,8,2894,0,11467,3,1827,3
11/17/2018,GSW,Golden State Warriors,GSW @ DAL,Kevin Durant,F,40.3,2579,0,12874,3,5849,1,2443,11,549,10,204,4,9339,0,11467,4,786,4
11/17/2018,OKC,Oklahoma City Thunder,OKC @ PHX,Steven Adams,C,39,2909,0,12874,0,18130,0,7843,11,549,4,2601,10,1582,1,4317,2,4097,5
11/17/2018,HOU,Houston Rockets,HOU vs. SAC,Clint Capela,C,57.7,423,0,12874,1,12618,4,98,11,549,1,10110,16,207,1,4317,1,8514,6
11/17/2018,SAC,Sacramento Kings,SAC @ HOU,Buddy Hield,G,35.4,3972,3,1597,2,8551,0,7843,10,888,0,13385,7,3913,1,4317,2,4097,7
11/17/2018,PHX,Phoenix Suns,PHX vs. OKC,T.J. Warren,F,34.5,4316,2,3543,1,12618,1,2443,10,888,1,10110,5,7038,1,4317,2,4097,8
