GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
3/29/2019,POR,Portland Trail Blazers,POR @ ATL,Damian Lillard,G,51.1,878,4,662,7,1184,1,2443,13,186,6,1093,3,12137,0,11467,2,4097,7
3/29/2019,IND,Indiana Pacers,IND @ BOS,Darren Collison,G,25.7,8378,1,7056,7,1184,0,7843,5,6509,1,10110,1,18809,1,4317,1,8514,8
3/29/2019,ATL,Atlanta Hawks,ATL vs. POR,Trae Young,G,47.3,1338,1,7056,7,1184,0,7843,10,888,5,1672,9,2204,1,4317,3,1827,9
3/29/2019,DEN,Denver Nuggets,DEN @ OKC,Monte Morris,G,17.7,13364,0,12874,7,1184,0,7843,2,14769,0,13385,1,18809,1,4317,1,8514,10
3/28/2019,SAC,Sacramento Kings,SAC @ NOP,De'Aaron Fox,G,59,364,1,7056,12,111,1,2443,11,549,2,6102,5,7038,3,415,2,4097,1
3/28/2019,MIA,Miami Heat,MIA vs. DAL,Goran Dragic,G,56.9,458,0,12874,11,183,1,2443,9,1419,5,1672,12,814,1,4317,3,1827,2
3/28/2019,NOP,New Orleans Pelicans,NOP vs. SAC,Elfrid Payton,G,34.3,4399,0,12874,9,525,1,2443,7,3260,2,6102,4,9339,0,11467,3,1827,3
3/28/2019,TOR,Toronto Raptors,TOR @ NYK,Fred VanVleet,G,36.6,3598,4,662,8,789,2,812,4,8828,0,13385,3,12137,1,4317,0,15731,4
3/28/2019,MIL,Milwaukee Bucks,MIL vs. LAC,Eric Bledsoe,G,35.4,3972,3,1597,8,789,0,7843,5,6509,2,6102,7,3913,1,4317,3,1827,5
3/28/2019,SAS,San Antonio Spurs,SAS vs. CLE,DeMar DeRozan,G,43.4,1947,0,12874,8,789,0,7843,10,888,5,1672,2,15352,2,1393,2,4097,6
