GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,STL_DAY_RANK
3/21/2019,CHA,Charlotte Hornets,CHA vs. MIN,Marvin Williams,F,31.6,5459,3,1597,0,18130,3,272,5,6509,0,13385,3,12137,2,1393,0,15731,8
3/21/2019,PHX,Phoenix Suns,PHX vs. DET,Richaun Holmes,F-C,29.5,6436,0,12874,1,12618,2,812,2,14769,6,1093,5,7038,2,1393,0,15731,9
3/21/2019,MIN,Minnesota Timberwolves,MIN @ CHA,Tyus Jones,G,31.9,5332,1,7056,7,1184,0,7843,6,4636,1,10110,2,15352,2,1393,1,8514,10
3/20/2019,NOP,New Orleans Pelicans,NOP @ ORL,Kenrich Williams,G,27.9,7212,1,7056,1,12618,0,7843,3,11548,0,13385,7,3913,4,121,1,8514,1
3/20/2019,CHI,Chicago Bulls,CHI vs. WAS,Shaquille Harrison,G,36.2,3703,1,7056,0,18130,0,7843,7,3260,3,4174,6,5192,4,121,1,8514,2
3/20/2019,WAS,Washington Wizards,WAS @ CHI,Bradley Beal,G,54.9,579,2,3543,7,1184,2,812,7,3260,11,128,7,3913,3,415,6,130,3
3/20/2019,ORL,Orlando Magic,ORL vs. NOP,Wes Iwundu,F,12.2,17085,0,12874,0,18130,0,7843,2,14769,0,13385,1,18809,3,415,2,4097,4
3/20/2019,WAS,Washington Wizards,WAS @ CHI,Tomas Satoransky,G,38.5,3041,2,3543,7,1184,0,7843,7,3260,0,13385,5,7038,3,415,3,1827,5
3/20/2019,MIL,Milwaukee Bucks,MIL @ CLE,D.J. Wilson,F,31.1,5713,0,12874,5,2659,0,7843,1,18112,4,2601,8,2894,3,415,1,8514,6
3/20/2019,PHI,Philadelphia 76ers,PHI vs. BOS,Ben Simmons,G,46.1,1518,0,12874,7,1184,2,812,5,6509,3,4174,8,2894,3,415,2,4097,7
3/20/2019,MEM,Memphis Grizzlies,MEM vs. HOU,Chandler Parsons,F,28.2,7054,3,1597,2,8551,0,7843,4,8828,0,13385,6,5192,3,415,2,4097,8
3/20/2019,HOU,Houston Rockets,HOU @ MEM,PJ Tucker,F,26.6,7890,3,1597,0,18130,1,2443,3,11548,0,13385,8,2894,2,1393,1,8514,9
3/20/2019,HOU,Houston Rockets,HOU @ MEM,Iman Shumpert,G,13.9,15958,0,12874,1,12618,0,7843,2,14769,0,13385,2,15352,2,1393,0,15731,10
3/2/2019,DEN,Denver Nuggets,DEN vs. NOP,Paul Millsap,F,46.4,1473,2,3543,2,8551,2,812,4,8828,6,1093,7,3913,5,25,2,4097,1
3/2/2019,GSW,Golden State Warriors,GSW @ PHI,Stephen Curry,G,45.8,1562,5,280,2,8551,0,7843,10,888,3,4174,4,9339,4,121,2,4097,2
3/2/2019,UTA,Utah Jazz,UTA vs. MIL,Jae Crowder,F,24,9362,0,12874,4,3929,0,7843,2,14769,0,13385,5,7038,3,415,1,8514,3
3/2/2019,GSW,Golden State Warriors,GSW @ PHI,Draymond Green,F,37.8,3235,0,12874,10,325,0,7843,2,14769,2,6102,9,2204,3,415,3,1827,4
3/2/2019,NOP,New Orleans Pelicans,NOP @ DEN,Jrue Holiday,G,46.1,1518,4,662,5,2659,1,2443,10,888,5,1672,3,12137,3,415,6,130,5
3/2/2019,PHI,Philadelphia 76ers,PHI vs. GSW,Ben Simmons,G,59.5,346,0,12874,11,183,0,7843,10,888,5,1672,15,299,3,415,9,7,6
3/2/2019,UTA,Utah Jazz,UTA vs. MIL,Ricky Rubio,G,23.1,9884,2,3543,3,5849,0,7843,2,14769,0,13385,3,12137,3,415,0,15731,7
3/2/2019,SAS,San Antonio Spurs,SAS vs. OKC,Derrick White,G,36.6,3598,1,7056,2,8551,1,2443,6,4636,1,10110,8,2894,3,415,2,4097,8
3/2/2019,CLE,Cleveland Cavaliers,CLE vs. DET,Jordan Clarkson,G,25.1,8705,0,12874,3,5849,0,7843,4,8828,3,4174,3,12137,2,1393,0,15731,9
3/2/2019,GSW,Golden State Warriors,GSW @ PHI,Andre Iguodala,G,30.8,5846,1,7056,4,3929,3,272,2,14769,1,10110,4,9339,2,1393,1,8514,10
3/19/2019,BKN,Brooklyn Nets,BKN @ SAC,D'Angelo Russell,G,73.8,59,6,113,12,111,0,7843,17,21,4,2601,4,9339,4,121,5,338,1
3/19/2019,IND,Indiana Pacers,IND @ LAC,Cory Joseph,G,20,11891,1,7056,4,3929,0,7843,2,14769,0,13385,0,22086,4,121,3,1827,2
3/19/2019,MIL,Milwaukee Bucks,MIL vs. LAL,Eric Bledsoe,G,42.1,2168,1,7056,7,1184,0,7843,4,8828,5,1672,8,2894,4,121,4,786,3
3/19/2019,LAC,LA Clippers,LAC vs. IND,Patrick Beverley,G,34.3,4399,2,3543,5,2659,1,2443,4,8828,0,13385,4,9339,3,415,0,15731,4
3/19/2019,SAC,Sacramento Kings,SAC vs. BKN,Corey Brewer,G,11.7,17447,0,12874,1,12618,0,7843,0,21502,1,10110,1,18809,3,415,1,8514,5
3/19/2019,HOU,Houston Rockets,HOU @ ATL,PJ Tucker,F,23,9940,2,3543,0,18130,1,2443,2,14769,0,13385,5,7038,3,415,1,8514,6
3/19/2019,SAC,Sacramento Kings,SAC vs. BKN,Buddy Hield,G,26.3,8058,0,12874,3,5849,1,2443,4,8828,0,13385,4,9339,3,415,3,1827,7
